#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Down","Jay Sean,Lil Wayne",66,10B,68,2011-02-06,03:32,0,"rap, hip hop","Down",2009-01-01,65,1,0,70,0,0,-5,D Major,4,5j0OkRN4KRzVeSfY63buDe,USCM50900094,no
2,"Moves Like Jagger - Studio Recording From  The Voice  Performance","Maroon 5,Christina Aguilera",128,10A,76,2023-03-20,03:21,85,"pop, ","Hands All Over (Revised International Standard version)",2010-00-00,72,1,0,62,0,30,-4,B Minor,4,7pYfyrMNPn3wtoCyqcTVoI,USUM71109132,no
3,"Blow","Kesha",120,10A,73,2023-03-23,03:39,83,"","Cannibal (Expanded Edition)",2010-11-19,75,0,0,81,0,0,-4,B Minor,4,3pYDZTJM2tVBUhIRifWVzI,USRC11000889,no
4,"F**kin' Perfect - Radio Edit","P!nk",92,9B,65,2023-03-22,03:33,75,"","F**kin' Perfect (Radio Edit)",2010-12-15,56,4,0,50,0,30,-5,G Major,4,3ueoTboomKEQpI3r9z47Kg,USLF21000103,no
5,"Big Girls Don't Cry (Personal)","Fergie",113,9B,64,2023-03-22,04:28,76,"","The Dutchess",2006-09-13,71,20,0,25,0,0,-4,G Major,4,6dgWWAs5yhWPOtvE1zuoQ1,USUM70609115,no
6,"No One","Alicia Keys",90,12A,55,2023-03-22,04:13,74,"r&b, neo soul","As I Am (Expanded Edition)",2007-11-09,64,2,0,17,0,10,-5,C♯/D♭ Minor,4,6IwKcFdiRQZOWeYNhUiWIv,USJAY0700190,no
7,"Your Love Is My Drug","Kesha",120,3B,61,2023-03-22,03:07,80,"","Animal (Expanded Edition)",2010-01-01,83,1,0,76,10,0,-4,C♯/D♭ Major,4,6vc2Jq2vaGu8z326kSrw92,USRC10900735,no
8,"Can't Be Tamed","Miley Cyrus",117,10A,91,2023-03-23,02:48,67,"","Can't Be Tamed",2010-06-18,63,3,0,74,10,20,-3,B Minor,4,2r6DdaSbkbwoPzuK6NjLPn,USHR11024938,no
9,"In My Head","Jason Derulo",110,5A,75,2023-03-22,03:19,75,"","Jason Derulo (International)",2010-02-24,76,3,0,85,0,30,-4,C Minor,4,6St9lR6dhV2tpCNVz7qfrS,USWB10904633,no
10,"We Can't Stop","Miley Cyrus",80,12A,62,2023-03-22,03:51,84,"","Bangerz (Deluxe Version)",2013-10-04,61,1,0,48,0,30,-6,C♯/D♭ Minor,4,2y4lAQpi5VTNLu2ldeTdUH,USRC11300686,no
11,"Drive By","Train",122,12A,84,2023-03-22,03:15,83,"soft pop","California 37",2012-04-17,77,0,0,72,0,0,-3,C♯/D♭ Minor,4,0KAiuUOrLTIkzkpfpn9jb9,USSM11106876,no
12,"Shut Up and Dance","WALK THE MOON",128,3B,87,2023-03-22,03:19,89,"","TALKING IS HARD",2014-12-02,58,1,0,62,0,20,-4,C♯/D♭ Major,4,4kbj5MwxO1bq9wjT5g9HaA,USRC11401949,no
13,"Hey, Soul Sister","Train",97,12A,89,2023-03-22,03:36,86,"soft pop","Save Me, San Francisco (Golden Gate Edition)",2010-12-01,67,19,0,80,0,0,-4,C♯/D♭ Minor,4,4HlFJV71xXKIGcU3kRyttv,USSM10904113,no
14,"Dancing’s Done","Ava Max",114,12A,87,2023-03-23,02:46,59,"","Diamonds & Dancefloors",2023-01-27,57,6,0,18,0,10,-4,C♯/D♭ Minor,4,2wqxcctWptasX4VnP2sRvV,USAT22206831,no
15,"WOW (feat. ÁSDÍS)","Toby Romeo,Keanu Silva,IZKO,ÁSDÍS",126,3A,81,2023-03-22,02:23,55,"future house, slap house, ","WOW (feat. ÁSDÍS)",2022-09-30,71,3,0,56,10,0,-5,A#/B♭ Minor,4,318quSv1UJeamoAkEDjAuY,DEUM72205955,no
